,Open,High,Low,Close,Volume
2025-08-26,642.2,645.51,641.57,645.16,51581565
2025-08-27,644.57,647.37,644.42,646.63,48341069
2025-08-28,647.24,649.48,645.34,648.92,61519461
2025-08-29,647.47,647.84,643.14,645.05,74522192
2025-09-02,637.5,640.49,634.92,640.27,81983545
2025-09-03,642.67,644.21,640.46,643.74,69428091
2025-09-04,644.42,649.15,643.51,649.12,65219228
2025-09-05,651.48,652.21,643.33,647.24,85178935
2025-09-08,648.62,649.84,647.23,648.83,63133104
2025-09-09,648.97,650.86,647.22,650.33,66133856
2025-09-10,653.62,654.55,650.63,652.21,78034529
2025-09-11,654.18,658.33,653.59,657.63,69934360
2025-09-12,657.6,659.11,656.9,657.41,72780135
2025-09-15,659.64,661.04,659.34,660.91,63772412
2025-09-16,661.47,661.78,659.21,660.0,61168953
2025-09-17,660.01,661.72,654.3,659.18,101952244
2025-09-18,661.89,664.89,660.27,662.26,90459242
2025-09-19,662.33,664.55,660.37,663.7,97945620
2025-09-22,662.2,667.29,662.17,666.84,69452201
2025-09-23,666.72,667.34,661.98,663.21,81708872
2025-09-24,664.51,664.61,659.67,661.1,68082229
2025-09-25,657.94,659.4056,654.405,658.05,89622067
2025-09-26,659.51,662.37,657.88,661.82,69179209
2025-09-29,664.36,665.28,661.86,663.68,73499015
2025-09-30,662.93,666.65,661.61,666.18,86288028
2025-10-01,663.17,669.37,663.06,668.45,72545369
2025-10-02,670.45,670.565,666.78,669.22,56895993
2025-10-03,669.99,672.675,668.16,669.21,70494350
2025-10-06,671.62,672.51,669.455,671.61,54623260
2025-10-07,672.54,672.99,667.67,669.12,72020067
2025-10-08,670.25,673.2056,669.42,673.11,60702241
2025-10-09,673.53,673.94,669.21,671.16,66501941
2025-10-10,672.13,673.95,652.84,653.02,159422589
2025-10-13,660.65,665.13,659.7679,663.04,79560517
2025-10-14,657.17,665.83,653.17,662.23,88779560
2025-10-15,666.82,670.23,658.93,665.17,81702555
2025-10-16,666.82,668.71,657.11,660.64,110563346
2025-10-17,659.5,665.755,658.14,664.39,96500870
2025-10-20,667.32,672.21,667.27,671.3,60493350
2025-10-21,671.44,672.99,669.981,671.29,56249034
2025-10-22,672.0,672.0,663.3,667.8,80564006
2025-10-23,668.12,672.7101,667.8,671.76,65604461
2025-10-24,676.46,678.47,675.65,677.25,74356527
2025-10-27,682.73,685.54,682.115,685.24,63339790
2025-10-28,687.05,688.905,684.83,687.06,61738073
2025-10-29,688.72,689.7,682.87,687.39,85362207
2025-10-30,683.9,685.94,679.83,679.83,76335751
2025-10-31,685.04,685.08,679.24,682.06,87164122
2025-11-03,685.67,685.8,679.94,683.34,57315025
2025-11-04,676.11,679.96,674.58,675.24,78426969
2025-11-05,674.98,680.86,674.17,677.58,72763485
2025-11-06,676.47,677.38,668.72,670.31,85035298
2025-11-07,667.91,671.08,661.205,670.97,100592443
2025-11-10,677.235,682.18,675.03,681.44,75842888
2025-11-11,679.95,683.57,678.73,683.0,58953385
2025-11-12,684.79,684.96,680.945,683.38,62312484
2025-11-13,680.5,680.86,670.52,672.04,103457788
2025-11-14,665.38,675.66,663.265,671.93,96846672
2025-11-17,669.7,673.71,662.17,665.67,90456105
2025-11-18,662.095,665.12,655.86,660.08,114467488
2025-11-19,660.78,667.34,658.745,662.63,94702955
2025-11-20,672.91,675.56,651.89,652.53,165293521
2025-11-21,655.05,664.55,650.85,659.03,123956203
2025-11-24,662.69,670.06,661.59,668.73,80437940
2025-11-25,668.63,676.21,664.48,675.02,81077088
2025-11-26,677.63,681.7,676.72,679.68,71879597
2025-11-28,680.86,683.665,680.5,683.39,49212030
2025-12-01,678.81,682.99,678.74,680.27,61201193
2025-12-02,681.92,683.82,679.3275,681.53,62953844
2025-12-03,680.57,684.91,679.69,683.89,57238481
2025-12-04,685.3,685.37,681.34,684.39,61970336
2025-12-05,685.47,688.39,684.58,685.69,79241045
2025-12-08,686.59,686.64,681.57,683.63,53033654
2025-12-09,683.15,685.385,682.59,683.04,56313923
2025-12-10,682.56,688.97,681.31,687.57,85671334
2025-12-11,685.14,689.25,682.165,689.17,86173678
2025-12-12,688.17,688.88,679.1744,681.76,113160347
2025-12-15,685.74,685.76,679.25,680.73,90810952
2025-12-16,679.23,681.08,674.98,678.87,122030631
2025-12-17,679.89,680.435,671.195,671.4,110625198
2025-12-18,677.6,680.74,674.9,676.47,108650128
2025-12-19,676.59,681.09,676.47,680.59,103599543
2025-12-22,683.94,685.36,680.5868,684.83,69556733
2025-12-23,683.92,688.2,683.87,687.96,64839951
2025-12-24,687.95,690.83,687.8,690.38,39445560
2025-12-26,690.64,691.66,689.27,690.31,41613347
2025-12-29,687.54,689.2,686.07,687.85,62559503
2025-12-30,687.445,688.555,686.58,687.01,47160671
2025-12-31,687.14,687.36,681.71,681.92,74144801
2026-01-02,685.71,686.87,679.82,683.17,89377203
2026-01-05,686.54,689.43,686.375,687.72,71927191
2026-01-06,687.93,692.315,687.78,691.81,69273827
2026-01-07,692.19,693.96,689.32,689.58,75588337
2026-01-08,688.82,690.615,687.49,689.51,64019200
2026-01-09,690.63,695.31,689.18,694.07,80125467
2026-01-12,690.68,696.09,690.63,695.16,63976002
2026-01-13,695.49,696.09,691.35,693.77,78309726
2026-01-14,691.0,691.72,686.04,690.36,94676684
2026-01-15,694.57,695.45,691.25,692.24,77861974
2026-01-16,693.66,694.25,690.1,691.66,79289200
